HR01;HR02;Suma;Suma_Eduardo;Check
816;1028;1563;1563;0
812;1008;1664;1664;0
825;986;1568;1568;0
816;1009;1577;1577;0
762;977;1522;1522;0
770;972;1540;1540;0
803;961;1509;1509;0
756;923;1532;1532;0
798;856;1522;1522;0
764;926;1515;1515;0
785;959;1494;1494;0
731;932;1473;1473;0
749;894;1449;1449;0
751;897;1455;1455;0
747;895;1443;1443;0
704;909;1427;1427;0
751;907;1458;1458;0
704;900;1349;1349;0
693;900;1361;1361;0
688;926;1370;1370;0
737;867;1367;1367;0
713;901;1399;1399;0
679;852;1318;1318;0
636;903;1291;1291;0
713;879;1378;1378;0
661;837;1335;1335;0
709;861;1384;1384;0
635;806;1303;1303;0
576;771;1247;1247;0
680;848;1278;1278;0
665;827;1343;1343;0
602;763;1231;1231;0
684;803;1271;1271;0
674;747;1255;1255;0
566;852;1161;1161;0
664;743;1246;1246;0
636;761;1234;1234;0
630;760;1227;1227;0
580;770;1160;1160;0
607;706;1225;1225;0
651;776;1241;1241;0
612;724;1169;1169;0
612;751;1174;1174;0
599;709;1204;1204;0
561;742;1107;1107;0
594;700;1159;1159;0
584;704;1145;1145;0
527;696;1097;1097;0
556;723;1085;1085;0
574;707;1091;1091;0
554;645;1112;1112;0
570;668;1109;1109;0
554;682;1075;1075;0
539;630;1055;1055;0
549;686;1081;1081;0
501;639;1038;1038;0
525;655;1064;1064;0
519;665;1061;1061;0
527;674;1059;1059;0
524;675;1045;1045;0
538;668;1035;1035;0
563;671;1077;1077;0
495;598;990;990;0
483;678;988;988;0
541;629;1030;1030;0
479;587;981;981;0
519;581;994;994;0
491;595;984;984;0
474;582;961;961;0
510;598;1026;1026;0
491;597;963;963;0
472;580;952;952;0
472;618;934;934;0
468;590;962;962;0
454;557;922;922;0
482;562;957;957;0
463;605;964;964;0
457;546;907;907;0
446;565;911;911;0
492;561;977;977;0
457;570;924;924;0
450;529;882;882;0
456;517;907;907;0
436;558;871;871;0
385;539;876;876;0
405;521;805;805;0
419;516;846;846;0
480;532;922;922;0
428;537;884;884;0
422;539;868;868;0
416;542;805;805;0
447;532;880;880;0
441;521;863;863;0
417;497;859;859;0
389;514;808;808;0
405;495;807;807;0
384;505;792;792;0
412;489;838;838;0
406;502;820;820;0
395;475;830;830;0
395;493;775;775;0
391;487;774;774;0
392;516;812;812;0
396;472;779;779;0
412;480;785;785;0
378;462;818;818;0
391;494;781;781;0
396;468;784;784;0
354;475;796;796;0
394;501;758;758;0
371;450;748;748;0
393;465;776;776;0
358;485;761;761;0
393;467;766;766;0
363;432;744;744;0
376;451;727;727;0
331;435;702;702;0
395;491;741;741;0
346;400;703;703;0
334;427;705;705;0
334;442;707;707;0
322;456;725;725;0
315;446;708;708;0
356;389;736;736;0
348;433;732;732;0
358;422;721;721;0
323;442;692;692;0
306;419;665;665;0
320;402;654;654;0
309;408;634;634;0
360;426;689;689;0
312;414;659;659;0
327;435;679;679;0
353;380;699;699;0
309;383;646;646;0
309;420;633;633;0
307;383;656;656;0
311;373;693;693;0
314;440;643;643;0
321;390;635;635;0
354;388;662;662;0
328;442;676;676;0
312;364;599;599;0
294;377;631;631;0
301;383;625;625;0
310;403;651;651;0
288;373;636;636;0
269;381;586;586;0
318;351;626;626;0
292;371;639;639;0
290;346;604;604;0
310;357;619;619;0
284;371;595;595;0
303;373;628;628;0
271;403;555;555;0
305;393;599;599;0
296;380;585;585;0
278;384;575;575;0
267;363;566;566;0
290;369;577;577;0
261;359;541;541;0
283;334;572;572;0
307;325;608;608;0
252;329;554;554;0
281;347;557;557;0
276;352;566;566;0
280;346;572;572;0
281;337;585;585;0
253;324;540;540;0
283;349;551;551;0
269;382;559;559;0
297;329;564;564;0
276;314;539;539;0
267;308;553;553;0
267;348;537;537;0
242;287;527;527;0
257;337;524;524;0
228;324;480;480;0
256;341;529;529;0
287;348;574;574;0
271;317;513;513;0
272;308;527;527;0
297;347;559;559;0
218;314;492;492;0
258;309;499;499;0
270;311;554;554;0
264;325;527;527;0
246;284;489;489;0
248;294;470;470;0
229;289;511;511;0
266;297;518;518;0
253;299;514;514;0
246;287;528;528;0
238;280;498;498;0
